URO_CARC,#A32581
UTN_SER_CARC,#9B5A30
UVM,#7CC24B
YST,#218844
CONTR_KIDN,#86887A
MTSC,#58BF58
PGG,#38B4B5
WT,#D7A8FF
ONCYT,#F896A4
JRCT,#F3CD4E
BHD,#B5B6F0
MEST,#F8D19E
CCPRCC,#326291
TFE3,#8E49E2
PRNRP,#4D2D7F
CMML,#38B4B8
MCL,#F8D470
CSA_IDH_GROUP_A,#6183C3
CSA_IDH_GROUP_B,#1474B8
AB_MN1,#31959E
APAP,#821B5E
BRAF V600E,#31959E
GBM_PNET,#0B2FAB
n/a,#D2BDDC
NF1,#DF4162
NF1 (del),#F2788C
NF2,#8A1B1D
NF2 (del),#F896A4
RB1,#0A1384
RB1 (del),#2A46BC
PA_MID,#8E49E2
PA_PF,#853FC4
HPAP,#A3202B
HPAP_A,#A3202B
HPAP_B,#CA3E51
MB_G3_G4,#FF9400
ANTCON,#31959E
CNS_SARC_DICER,#AB88D2
CPC_A,#735F1F
CPC_B,#B5B6F0
CPP_AD,#70746A
CPP_INF,#86887A
CTRL_ADENOPIT,#92958A
CTRL_BLOOD,#9FA19A
CTRL_CBM,#ADAEAA
CTRL_CORPCAL,#BABBB9
CTRL_HEMI,#4A4C4A
CTRL_HYPOTHAL,#225D6F
CTRL_INFLAM,#297886
CTRL_OPTIC,#8C6C25
CTRL_PIN,#44934F
CTRL_PONS,#E5DCE7
CTRL_REACTIVE,#F2BF82
DGONC,#F8D19E
DLBCL,#DF4162
DLGNT_1,#A3202B
PRCC,#44FF00B3
PIN_T__PB_B,#00FF3CB3
ICMT_EWSR1_ATF1,#00FFBCB3
ICMT_EWSR1_CREB1,#00C2FFB3
ICMT_EWSR1_CREM,#0042FFB3
ICMT_EWSR1_FUS,#3E00FFB3
UCEC,#BF00FFB3
AB_EWSR1_BEND2,#FF00BFB3
Unclassified,#D2BDDC
